"ABC1-A3DCU1"	"ABC1-C1DS84"	"ABC1-F0R9C2"	"ABC1-O05693"	"ABC1-O53645"	"ABC1-O67184"	"ABC1-O75027"	"ABC1-O85350"	"ABC1-P18770"	"ABC1-P23596"	"ABC1-P63391"	"ABC1-P73239"	"ABC1-Q03024"	"ABC1-Q1LRE9"	"ABC1-Q53368"	"ABC1-Q54456"	"ABC1-Q72J04"	"ABC1-Q88RG3"	"ABC1-Q8T9W4"	"ABC1-Q9LVM1"	"ABC1-Q9NP58"	"ABC1-Q9RHT2"	"ABC1-Q9XUJ1"	"ABC1-Q9Z3C5"	"ABC1-Q9ZG94"	"ABC2a-A8GZV2"	"ABC2a-AKM77948"	"ABC2a-B3FHE0"	"ABC2a-B5YBB1"	"ABC2a-B8D1W5"	"ABC2a-D1GQ17"	"ABC2a-E8R694"	"ABC2a-F8FLY7"	"ABC2a-J8ABC0"	"ABC2a-O30385"	"ABC2a-P24586"	"ABC2a-P42332"	"ABC2a-P42954"	"ABC2a-P46903"	"ABC2a-P50332"	"ABC2a-P72884"	"ABC2a-P94440"	"ABC2a-Q18BL2"	"ABC2a-Q1D3I3"	"ABC2a-Q48476"	"ABC2a-Q50863"	"ABC2a-Q53716"	"ABC2a-Q6E7E8"	"ABC2a-Q8IUA7"	"ABC2a-Q9I3V8"	"ABC2b-A4HWI7"	"ABC2b-A8WEV1"	"ABC2b-A9SCA8"	"ABC2b-A9YWR6"	"ABC2b-D3GE74"	"ABC2b-G7LE38"	"ABC2b-H9BZ66"	"ABC2b-I0DHI9"	"ABC2b-P10090"	"ABC2b-P25371"	"ABC2b-P45844"	"ABC2b-Q11180"	"ABC2b-Q55DW4"	"ABC2b-Q84TH5"	"ABC2b-Q8RXN0"	"ABC2b-Q9C6W5"	"ABC2b-Q9C8J8"	"ABC2b-Q9C8K2"	"ABC2b-Q9FNB5"	"ABC2b-Q9H221"	"ABC2b-Q9H222"	"ABC2b-Q9M2V7"	"ABC2b-Q9M3D6"	"ABC2b-Q9UNQ0"	"ABC2b-S6BKX3"	"ABC3-A3MWP1"	"ABC3-A8TDW7"	"ABC3-B2J284"	"ABC3-B8GHI2"	"ABC3-D6ZUW6"	"ABC3-E6N374"	"ABC3-N9J6M5"	"ABC3-O31711"	"ABC3-O34392"	"ABC3-O34697"	"ABC3-OLS17115"	"ABC3-OLS22653"	"ABC3-P75831"	"ABC3-Q03RZ6"	"ABC3-Q58206"	"ABC3-Q73MJ2"	"ABC3-Q8DQF8"	"ABC3-Q8RKC1"	"ABC3-Q8TM30"	"ABC3-Q8VUH2"	"ABC3-Q8Y5F0"	"ABC3-Q973J6"	"ABC3-Q9RL74"	"ABC3-RCX16582"	"ABC3-RDE13438"
"ABC1-A3DCU1"	0	0.529197080291971	0.474452554744526	0.569343065693431	0.536496350364964	0.529197080291971	0.452554744525547	0.565693430656934	0.463503649635037	0.576642335766423	0.569343065693431	0.394160583941606	0.525547445255474	0.5	0.637226277372263	0.594890510948905	0.5	0.507299270072993	0.445255474452555	0.514598540145985	0.543795620437956	0.54014598540146	0.525547445255474	0.624087591240876	0.587591240875912	0.737226277372263	0.804744525547445	0.842700729927007	0.773722627737226	0.717518248175183	0.858029197080292	0.760948905109489	0.780656934306569	0.74014598540146	0.811678832116788	0.822992700729927	0.751094890510949	0.796350364963504	0.738686131386861	0.772262773722628	0.824452554744526	0.787591240875912	0.74963503649635	0.716058394160584	0.84963503649635	0.716058394160584	0.791970802919708	0.789051094890511	0.773722627737226	0.835401459854015	0.831386861313869	0.82007299270073	0.806204379562044	0.804744525547445	0.801824817518248	0.793430656934307	0.797445255474453	0.846715328467153	0.787591240875912	0.803284671532847	0.798905109489051	0.791970802919708	0.804744525547445	0.801824817518248	0.808759124087591	0.813138686131387	0.834306569343066	0.82992700729927	0.804744525547445	0.786496350364964	0.806204379562044	0.789051094890511	0.794890510948905	0.856569343065693	0.841240875912409	0.779197080291971	0.725912408759124	0.756934306569343	0.716058394160584	0.762408759124088	0.758394160583942	0.74963503649635	0.778102189781022	0.725912408759124	0.766788321167883	0.747080291970803	0.793430656934307	0.760948905109489	0.758394160583942	0.754014598540146	0.759489051094891	0.728832116788321	0.754014598540146	0.791970802919708	0.722992700729927	0.754014598540146	0.744160583941606	0.724452554744526	0.765328467153285	0.74014598540146
"ABC1-C1DS84"	0.529197080291971	0	0.58029197080292	0.328467153284672	0.547445255474453	0.262773722627737	0.558394160583942	0.31021897810219	0.525547445255474	0.281021897810219	0.587591240875912	0.536496350364964	0.226277372262774	0.554744525547445	0.408759124087591	0.226277372262774	0.58029197080292	0.503649635036496	0.572992700729927	0.554744525547445	0.543795620437956	0.226277372262774	0.543795620437956	0.266423357664234	0.248175182481752	0.754014598540146	0.798905109489051	0.869343065693431	0.744160583941606	0.766788321167883	0.873357664233577	0.779197080291971	0.754014598540146	0.759489051094891	0.803284671532847	0.886131386861314	0.793430656934307	0.838321167883212	0.780656934306569	0.752554744525547	0.862408759124088	0.804744525547445	0.744160583941606	0.834306569343066	0.873357664233577	0.834306569343066	0.827007299270073	0.842700729927007	0.776642335766423	0.846715328467153	0.81021897810219	0.846715328467153	0.80036496350365	0.797445255474453	0.770802919708029	0.748540145985401	0.808759124087591	0.838321167883212	0.797445255474453	0.791970802919708	0.794890510948905	0.81021897810219	0.82007299270073	0.793430656934307	0.763868613138686	0.828467153284671	0.814598540145985	0.817153284671533	0.803284671532847	0.808759124087591	0.838321167883212	0.807299270072993	0.798905109489051	0.870802919708029	0.813138686131387	0.780656934306569	0.744160583941606	0.782116788321168	0.783576642335766	0.755474452554745	0.756934306569343	0.803284671532847	0.745620437956204	0.732846715328467	0.747080291970803	0.763868613138686	0.822992700729927	0.780656934306569	0.798905109489051	0.752554744525547	0.752554744525547	0.769343065693431	0.787591240875912	0.754014598540146	0.744160583941606	0.751094890510949	0.770802919708029	0.765328467153285	0.796350364963504	0.763868613138686
"ABC1-F0R9C2"	0.474452554744526	0.58029197080292	0	0.583941605839416	0.54014598540146	0.569343065693431	0.525547445255474	0.558394160583942	0.554744525547445	0.594890510948905	0.613138686131387	0.547445255474453	0.543795620437956	0.536496350364964	0.64014598540146	0.554744525547445	0.591240875912409	0.598540145985401	0.536496350364964	0.562043795620438	0.547445255474453	0.583941605839416	0.583941605839416	0.558394160583942	0.58029197080292	0.798905109489051	0.825547445255475	0.85948905109489	0.804744525547445	0.769343065693431	0.898905109489051	0.811678832116788	0.838321167883212	0.779197080291971	0.844160583941606	0.863503649635037	0.797445255474453	0.842700729927007	0.754014598540146	0.844160583941606	0.870802919708029	0.734306569343066	0.841240875912409	0.804744525547445	0.901824817518248	0.804744525547445	0.797445255474453	0.834306569343066	0.793430656934307	0.874817518248175	0.867883211678832	0.864963503649635	0.803284671532847	0.804744525547445	0.811678832116788	0.81021897810219	0.85948905109489	0.879197080291971	0.827007299270073	0.825547445255475	0.831386861313869	0.821532846715328	0.81021897810219	0.832846715328467	0.855109489051095	0.831386861313869	0.845255474452555	0.803284671532847	0.82007299270073	0.783576642335766	0.811678832116788	0.825547445255475	0.828467153284671	0.880656934306569	0.818613138686131	0.785036496350365	0.717518248175183	0.773722627737226	0.768248175182482	0.793430656934307	0.763868613138686	0.797445255474453	0.763868613138686	0.751094890510949	0.756934306569343	0.744160583941606	0.769343065693431	0.745620437956204	0.765328467153285	0.775182481751825	0.683576642335766	0.79051094890511	0.778102189781022	0.759489051094891	0.734306569343066	0.79051094890511	0.747080291970803	0.769343065693431	0.758394160583942	0.756934306569343
"ABC1-O05693"	0.60948905109489	0.37956204379562	0.598540145985401	0	0.602189781021898	0.408759124087591	0.613138686131387	0.386861313868613	0.647080291970803	0.408759124087591	0.648540145985401	0.635766423357664	0.361313868613139	0.624087591240876	0.474452554744526	0.354014598540146	0.700729927007299	0.587591240875912	0.66970802919708	0.648540145985401	0.624087591240876	0.394160583941606	0.631386861313869	0.37956204379562	0.361313868613139	0.786496350364964	0.879197080291971	0.862408759124088	0.81021897810219	0.817153284671533	0.90036496350365	0.836861313868613	0.82992700729927	0.804744525547445	0.841240875912409	0.928467153284672	0.838321167883212	0.867883211678832	0.834306569343066	0.813138686131387	0.874817518248175	0.81021897810219	0.825547445255475	0.877737226277372	0.891970802919708	0.877737226277372	0.895985401459854	0.870802919708029	0.82992700729927	0.889051094890511	0.89051094890511	0.846715328467153	0.880656934306569	0.848175182481752	0.816058394160584	0.824452554744526	0.848175182481752	0.901824817518248	0.855109489051095	0.825547445255475	0.870802919708029	0.851094890510949	0.866423357664234	0.860948905109489	0.928467153284672	0.872262773722628	0.928467153284672	0.893065693430657	0.798905109489051	0.841240875912409	0.85948905109489	0.811678832116788	0.81021897810219	0.90036496350365	0.84963503649635	0.842700729927007	0.813138686131387	0.817153284671533	0.852554744525547	0.835401459854015	0.789051094890511	0.866423357664234	0.803284671532847	0.797445255474453	0.814598540145985	0.841240875912409	0.863503649635037	0.806204379562044	0.798905109489051	0.82007299270073	0.874817518248175	0.851094890510949	0.822992700729927	0.858029197080292	0.81021897810219	0.813138686131387	0.808759124087591	0.786496350364964	0.82992700729927	0.846715328467153
"ABC1-O53645"	0.536496350364964	0.547445255474453	0.54014598540146	0.554744525547445	0	0.565693430656934	0.474452554744526	0.60948905109489	0.518248175182482	0.529197080291971	0.510948905109489	0.441605839416058	0.576642335766423	0.383211678832117	0.662773722627737	0.572992700729927	0.5	0.529197080291971	0.474452554744526	0.416058394160584	0.452554744525547	0.616788321167883	0.416058394160584	0.565693430656934	0.562043795620438	0.778102189781022	0.804744525547445	0.893065693430657	0.803284671532847	0.796350364963504	0.891970802919708	0.765328467153285	0.789051094890511	0.694890510948905	0.848175182481752	0.904379562043796	0.808759124087591	0.855109489051095	0.783576642335766	0.79051094890511	0.836861313868613	0.744160583941606	0.801824817518248	0.842700729927007	0.894525547445255	0.842700729927007	0.832846715328467	0.879197080291971	0.83978102189781	0.883211678832117	0.879197080291971	0.83978102189781	0.82007299270073	0.844160583941606	0.765328467153285	0.808759124087591	0.803284671532847	0.855109489051095	0.81021897810219	0.811678832116788	0.811678832116788	0.845255474452555	0.842700729927007	0.817153284671533	0.804744525547445	0.797445255474453	0.821532846715328	0.814598540145985	0.778102189781022	0.798905109489051	0.822992700729927	0.780656934306569	0.779197080291971	0.884671532846715	0.797445255474453	0.801824817518248	0.760948905109489	0.80036496350365	0.765328467153285	0.769343065693431	0.789051094890511	0.787591240875912	0.773722627737226	0.772262773722628	0.766788321167883	0.79051094890511	0.82992700729927	0.751094890510949	0.785036496350365	0.789051094890511	0.74014598540146	0.782116788321168	0.773722627737226	0.798905109489051	0.754014598540146	0.772262773722628	0.74963503649635	0.734306569343066	0.804744525547445	0.796350364963504
"ABC1-O67184"	0.529197080291971	0.262773722627737	0.569343065693431	0.372262773722628	0.565693430656934	0	0.594890510948905	0.343065693430657	0.529197080291971	0.328467153284672	0.62043795620438	0.554744525547445	0.277372262773723	0.605839416058394	0.445255474452555	0.299270072992701	0.602189781021898	0.507299270072993	0.565693430656934	0.602189781021898	0.565693430656934	0.335766423357664	0.558394160583942	0.27007299270073	0.372262773722628	0.768248175182482	0.786496350364964	0.867883211678832	0.773722627737226	0.798905109489051	0.891970802919708	0.769343065693431	0.804744525547445	0.778102189781022	0.780656934306569	0.869343065693431	0.794890510948905	0.879197080291971	0.776642335766423	0.769343065693431	0.867883211678832	0.813138686131387	0.787591240875912	0.817153284671533	0.876277372262774	0.817153284671533	0.82007299270073	0.860948905109489	0.756934306569343	0.841240875912409	0.804744525547445	0.834306569343066	0.801824817518248	0.822992700729927	0.786496350364964	0.735766423357664	0.775182481751825	0.834306569343066	0.825547445255475	0.797445255474453	0.794890510948905	0.806204379562044	0.768248175182482	0.763868613138686	0.794890510948905	0.824452554744526	0.821532846715328	0.81021897810219	0.836861313868613	0.80036496350365	0.818613138686131	0.835401459854015	0.836861313868613	0.846715328467153	0.807299270072993	0.756934306569343	0.721532846715328	0.735766423357664	0.727372262773723	0.699270072992701	0.727372262773723	0.768248175182482	0.731386861313869	0.73029197080292	0.725912408759124	0.714598540145985	0.763868613138686	0.765328467153285	0.744160583941606	0.710583941605839	0.765328467153285	0.73029197080292	0.754014598540146	0.704744525547445	0.724452554744526	0.742700729927007	0.718978102189781	0.727372262773723	0.776642335766423	0.744160583941606
"ABC1-O75027"	0.452554744525547	0.558394160583942	0.525547445255474	0.58029197080292	0.474452554744526	0.594890510948905	0	0.605839416058394	0.514598540145985	0.558394160583942	0.554744525547445	0.427007299270073	0.587591240875912	0.35036496350365	0.627737226277372	0.60948905109489	0.514598540145985	0.565693430656934	0.456204379562044	0.295620437956204	0.335766423357664	0.576642335766423	0.354014598540146	0.613138686131387	0.591240875912409	0.772262773722628	0.835401459854015	0.864963503649635	0.804744525547445	0.759489051094891	0.911313868613139	0.824452554744526	0.804744525547445	0.742700729927007	0.838321167883212	0.862408759124088	0.779197080291971	0.836861313868613	0.763868613138686	0.779197080291971	0.834306569343066	0.804744525547445	0.841240875912409	0.817153284671533	0.873357664233577	0.817153284671533	0.841240875912409	0.851094890510949	0.796350364963504	0.876277372262774	0.84963503649635	0.858029197080292	0.763868613138686	0.827007299270073	0.827007299270073	0.765328467153285	0.836861313868613	0.835401459854015	0.804744525547445	0.789051094890511	0.791970802919708	0.851094890510949	0.789051094890511	0.796350364963504	0.817153284671533	0.782116788321168	0.84963503649635	0.842700729927007	0.80036496350365	0.783576642335766	0.807299270072993	0.80036496350365	0.789051094890511	0.866423357664234	0.814598540145985	0.769343065693431	0.711678832116788	0.759489051094891	0.741240875912409	0.811678832116788	0.74963503649635	0.772262773722628	0.721532846715328	0.779197080291971	0.783576642335766	0.780656934306569	0.801824817518248	0.762408759124088	0.779197080291971	0.768248175182482	0.737226277372263	0.748540145985401	0.742700729927007	0.794890510948905	0.745620437956204	0.769343065693431	0.769343065693431	0.768248175182482	0.814598540145985	0.765328467153285
"ABC1-O85350"	0.565693430656934	0.31021897810219	0.558394160583942	0.35036496350365	0.60948905109489	0.343065693430657	0.605839416058394	0	0.583941605839416	0.408759124087591	0.664233576642336	0.554744525547445	0.324817518248175	0.598540145985401	0.452554744525547	0.302919708029197	0.65985401459854	0.543795620437956	0.587591240875912	0.562043795620438	0.547445255474453	0.332116788321168	0.551094890510949	0.313868613138686	0.354014598540146	0.772262773722628	0.804744525547445	0.869343065693431	0.793430656934307	0.797445255474453	0.92007299270073	0.827007299270073	0.778102189781022	0.785036496350365	0.831386861313869	0.89051094890511	0.813138686131387	0.928467153284672	0.803284671532847	0.794890510948905	0.889051094890511	0.785036496350365	0.794890510948905	0.870802919708029	0.867883211678832	0.870802919708029	0.832846715328467	0.869343065693431	0.794890510948905	0.897445255474453	0.85948905109489	0.82007299270073	0.838321167883212	0.794890510948905	0.811678832116788	0.797445255474453	0.842700729927007	0.882116788321168	0.824452554744526	0.851094890510949	0.813138686131387	0.844160583941606	0.825547445255475	0.82992700729927	0.851094890510949	0.852554744525547	0.82992700729927	0.854014598540146	0.856569343065693	0.836861313868613	0.873357664233577	0.864963503649635	0.834306569343066	0.870802919708029	0.831386861313869	0.794890510948905	0.778102189781022	0.789051094890511	0.811678832116788	0.818613138686131	0.765328467153285	0.834306569343066	0.779197080291971	0.789051094890511	0.772262773722628	0.783576642335766	0.822992700729927	0.785036496350365	0.813138686131387	0.82007299270073	0.791970802919708	0.814598540145985	0.822992700729927	0.803284671532847	0.778102189781022	0.791970802919708	0.80036496350365	0.773722627737226	0.818613138686131	0.80036496350365
"ABC1-P18770"	0.463503649635037	0.525547445255474	0.554744525547445	0.605839416058394	0.518248175182482	0.529197080291971	0.514598540145985	0.583941605839416	0	0.547445255474453	0.547445255474453	0.437956204379562	0.565693430656934	0.456204379562044	0.627737226277372	0.562043795620438	0.518248175182482	0.525547445255474	0.437956204379562	0.518248175182482	0.492700729927007	0.54014598540146	0.45985401459854	0.635036496350365	0.543795620437956	0.828467153284671	0.765328467153285	0.860948905109489	0.74963503649635	0.798905109489051	0.832846715328467	0.776642335766423	0.73029197080292	0.759489051094891	0.773722627737226	0.867883211678832	0.772262773722628	0.804744525547445	0.731386861313869	0.785036496350365	0.838321167883212	0.751094890510949	0.769343065693431	0.814598540145985	0.882116788321168	0.814598540145985	0.80036496350365	0.834306569343066	0.811678832116788	0.83978102189781	0.841240875912409	0.834306569343066	0.785036496350365	0.801824817518248	0.81021897810219	0.744160583941606	0.80036496350365	0.845255474452555	0.824452554744526	0.82007299270073	0.813138686131387	0.845255474452555	0.807299270072993	0.773722627737226	0.808759124087591	0.80036496350365	0.834306569343066	0.824452554744526	0.816058394160584	0.818613138686131	0.801824817518248	0.813138686131387	0.807299270072993	0.864963503649635	0.856569343065693	0.773722627737226	0.754014598540146	0.760948905109489	0.742700729927007	0.755474452554745	0.725912408759124	0.775182481751825	0.768248175182482	0.732846715328467	0.756934306569343	0.775182481751825	0.801824817518248	0.756934306569343	0.779197080291971	0.762408759124088	0.742700729927007	0.742700729927007	0.766788321167883	0.74963503649635	0.713138686131387	0.74014598540146	0.703284671532847	0.74014598540146	0.773722627737226	0.759489051094891
"ABC1-P23596"	0.627737226277372	0.328467153284672	0.656934306569343	0.416058394160584	0.572992700729927	0.39051094890511	0.616788321167883	0.481751824817518	0.62043795620438	0	0.656934306569343	0.635036496350365	0.386861313868613	0.627737226277372	0.430656934306569	0.339416058394161	0.652919708029197	0.587591240875912	0.668248175182482	0.655474452554744	0.616788321167883	0.328467153284672	0.616788321167883	0.445255474452555	0.375912408759124	0.763868613138686	0.81021897810219	0.83978102189781	0.778102189781022	0.856569343065693	0.872262773722628	0.817153284671533	0.801824817518248	0.814598540145985	0.858029197080292	0.882116788321168	0.808759124087591	0.84963503649635	0.825547445255475	0.798905109489051	0.863503649635037	0.842700729927007	0.804744525547445	0.851094890510949	0.874817518248175	0.851094890510949	0.867883211678832	0.851094890510949	0.818613138686131	0.855109489051095	0.89051094890511	0.854014598540146	0.855109489051095	0.856569343065693	0.836861313868613	0.791970802919708	0.895985401459854	0.883211678832117	0.858029197080292	0.844160583941606	0.873357664233577	0.874817518248175	0.854014598540146	0.863503649635037	0.876277372262774	0.870802919708029	0.895985401459854	0.91021897810219	0.832846715328467	0.867883211678832	0.883211678832117	0.84963503649635	0.842700729927007	0.894525547445255	0.872262773722628	0.813138686131387	0.773722627737226	0.791970802919708	0.824452554744526	0.789051094890511	0.794890510948905	0.841240875912409	0.794890510948905	0.786496350364964	0.801824817518248	0.785036496350365	0.845255474452555	0.82992700729927	0.814598540145985	0.803284671532847	0.80036496350365	0.834306569343066	0.807299270072993	0.816058394160584	0.780656934306569	0.803284671532847	0.780656934306569	0.80036496350365	0.803284671532847	0.81021897810219
